#TYPE Selected.System.Diagnostics.Process
"ProcessName","Path","Id"
"svchost","C:\WINDOWS\system32\svchost.exe","2684"
"svchost","C:\WINDOWS\System32\svchost.exe","2824"
"svchost","C:\WINDOWS\System32\svchost.exe","2860"
"svchost","C:\WINDOWS\System32\svchost.exe","2884"
"svchost","C:\WINDOWS\system32\svchost.exe","2892"
"svchost","C:\WINDOWS\system32\svchost.exe","2900"
"svchost","C:\WINDOWS\System32\svchost.exe","3004"
"svchost","C:\WINDOWS\system32\svchost.exe","3132"
"svchost","C:\WINDOWS\system32\svchost.exe","3224"
"svchost","C:\WINDOWS\system32\svchost.exe","3228"
"svchost","C:\WINDOWS\system32\svchost.exe","3268"
"svchost","C:\WINDOWS\System32\svchost.exe","3320"
"svchost","C:\WINDOWS\system32\svchost.exe","3440"
"svchost",,"3464"
"svchost","C:\WINDOWS\system32\svchost.exe","3468"
"svchost",,"3640"
"svchost","C:\WINDOWS\System32\svchost.exe","3652"
"svchost","C:\WINDOWS\system32\svchost.exe","3760"
"svchost","C:\WINDOWS\system32\svchost.exe","3768"
"svchost","C:\WINDOWS\System32\svchost.exe","3776"
"svchost","C:\WINDOWS\System32\svchost.exe","3788"
"svchost","C:\WINDOWS\system32\svchost.exe","3796"
"svchost","C:\WINDOWS\System32\svchost.exe","3804"
"svchost","C:\WINDOWS\system32\svchost.exe","3812"
"svchost","C:\WINDOWS\system32\svchost.exe","3820"
"svchost","C:\WINDOWS\system32\svchost.exe","3828"
"svchost","C:\WINDOWS\system32\svchost.exe","3836"
"svchost","C:\WINDOWS\System32\svchost.exe","3844"
"svchost","C:\WINDOWS\system32\svchost.exe","3880"
"svchost","C:\WINDOWS\system32\svchost.exe","4040"
"svchost","C:\WINDOWS\system32\svchost.exe","4260"
"svchost","C:\WINDOWS\System32\svchost.exe","4280"
"svchost","C:\WINDOWS\System32\svchost.exe","4300"
"svchost","C:\WINDOWS\system32\svchost.exe","4320"
"svchost","C:\WINDOWS\System32\svchost.exe","4340"
"svchost","C:\WINDOWS\system32\svchost.exe","4352"
"svchost","C:\WINDOWS\system32\svchost.exe","4392"
"svchost","C:\WINDOWS\system32\svchost.exe","4492"
"svchost","C:\WINDOWS\System32\svchost.exe","4580"
"svchost","C:\WINDOWS\system32\svchost.exe","4696"
"svchost","C:\WINDOWS\system32\svchost.exe","6432"
"svchost","C:\WINDOWS\system32\svchost.exe","7000"
"svchost","C:\WINDOWS\system32\svchost.exe","7640"
"svchost","C:\WINDOWS\system32\svchost.exe","7864"
"svchost","C:\WINDOWS\System32\svchost.exe","8928"
"svchost","C:\WINDOWS\System32\svchost.exe","9580"
"svchost","C:\WINDOWS\system32\svchost.exe","10252"
"svchost","C:\WINDOWS\System32\svchost.exe","10620"
"svchost","C:\WINDOWS\system32\svchost.exe","10784"
"svchost","C:\WINDOWS\system32\svchost.exe","11980"
"svchost","C:\WINDOWS\System32\svchost.exe","13004"
"svchost","C:\WINDOWS\System32\svchost.exe","14284"
